colonia,alcaldia,latitud,longitud
PUEBLO SAN PEDRO MARTIR,TLALPAN,19.26405,-99.16577
PASEOS DE CHURUBUSCO,IZTAPALAPA,19.38728,-99.087
NARVARTE PONIENTE,BENITO JUAREZ,19.38989,-99.15799
GUADALUPITA,XOCHIMILCO,19.2555,-99.01816
GERTRUDIS SANCHEZ 3A SECCION,GUSTAVO A. MADERO,19.46197,-99.09882
CULHUACAN CTM CANAL NACIONAL,COYOACAN,19.32417,-99.10863
PUEBLO SAN JUAN DE ARAGON,GUSTAVO A. MADERO,19.46483,-99.08455
COPILCO EL ALTO,COYOACAN,19.33236,-99.17746
LA ERA,IZTAPALAPA,19.33937,-99.05504
SAN JUAN ESTRELLA,IZTAPALAPA,19.32761,-99.07248
CULHUACAN CTM SECCION X-A,COYOACAN,19.32251,-99.11727
XOCO,BENITO JUAREZ,19.36215,-99.17033
PENON DE LOS BANOS,VENUSTIANO CARRANZA,19.43965,-99.08268
LLANO REDONDO,ALVARO OBREGON,19.35595,-99.24513
TLALCOLIGIA,TLALPAN,19.27514,-99.17301
DESARROLLO URBANO QUETZALCOATL,IZTAPALAPA,19.32548,-99.04017
VIADUCTO PIEDAD,IZTACALCO,19.401,-99.13118
PUEBLO OCOTLA,TLALPAN,19.20154,-99.15443
CERRO DE LA ESTRELLA,IZTAPALAPA,19.32659,-99.07725
POPULAR RASTRO,VENUSTIANO CARRANZA,19.45236,-99.11986
NAPOLES,BENITO JUAREZ,19.38956,-99.17561
SAN JUAN DE ARAGON III SECCION,GUSTAVO A. MADERO,19.45581,-99.07222
PEDREGAL DE SANTO DOMINGO,COYOACAN,19.32917,-99.1712
EX-EJIDO LA MAGDALENA MIXHUCA,IZTACALCO,19.39349,-99.08986
MODERNA,BENITO JUAREZ,19.39492,-99.13615
JACARANDAS,IZTAPALAPA,19.34687,-99.05227
ESCUADRON 201,IZTAPALAPA,19.36327,-99.11378
EXTREMADURA INSURGENTES,BENITO JUAREZ,19.37944,-99.17892
SAN BARTOLO ATEPEHUACAN,GUSTAVO A. MADERO,19.4928,-99.14554
LOS ALPES,ALVARO OBREGON,19.35644,-99.19883
LOMAS DE VISTA HERMOSA,CUAJIMALPA DE MORELOS,19.3795,-99.27251
NONOALCO TLATELOLCO,CUAUHTEMOC,19.4508,-99.13589
ALFONSO XIII,ALVARO OBREGON,19.37589,-99.19862
CULHUACAN CTM SECCION PILOTO,COYOACAN,19.32328,-99.113
AMPLIACION CASAS ALEMAN,GUSTAVO A. MADERO,19.47384,-99.08205
SAN JUAN DE ARAGON I SECCION,GUSTAVO A. MADERO,19.45677,-99.09194
INSURGENTES MIXCOAC,BENITO JUAREZ,19.37186,-99.17972
POLANCO II SECCION,MIGUEL HIDALGO,19.43546,-99.20688
SAN MIGUEL TEOTONGO SECC PALMITAS,IZTAPALAPA,19.34007,-98.99184
SAN PEDRO DE LOS PINOS,ALVARO OBREGON,19.38951,-99.19018
ARENAL 4A. SECCION,VENUSTIANO CARRANZA,19.4316,-99.05953
VERONICA ANZURES,MIGUEL HIDALGO,19.43729,-99.173
PUEBLO SANTIAGO TEPALCATLALPAN,XOCHIMILCO,19.24775,-99.12316
CARLOS A MADRAZO,ALVARO OBREGON,19.37836,-99.24966
AMPLIACION DEL GAS,AZCAPOTZALCO,19.46857,-99.1594
CUAJIMALPA,CUAJIMALPA DE MORELOS,19.35389,-99.30048
SANTO TOMAS,AZCAPOTZALCO,19.48891,-99.1738
SAN RAFAEL,CUAUHTEMOC,19.43826,-99.16597
MAGDALENA DE LAS SALINAS,GUSTAVO A. MADERO,19.48332,-99.14271
LOMAS DE SAN LORENZO,IZTAPALAPA,19.3177,-99.06126
CASA BLANCA,IZTAPALAPA,19.33138,-99.06748
CACAMA,IZTAPALAPA,19.35956,-99.12777
SAN JUAN DE ARAGON VII SECCION,GUSTAVO A. MADERO,19.47122,-99.07941
PUEBLO SANTA CATARINA,AZCAPOTZALCO,19.49276,-99.17288
JARDINES DEL PEDREGAL,ALVARO OBREGON,19.33191,-99.2045
MERCED BALBUENA,VENUSTIANO CARRANZA,19.4213,-99.12393
GOLONDRINAS 1RA SECCION,ALVARO OBREGON,19.38005,-99.21273
EX-EJIDO DE SAN FRANCISCO CULHUACAN,COYOACAN,19.32918,-99.12184
BARRIO SAN ANTONIO CULHUACAN,IZTAPALAPA,19.33929,-99.11308
LOMAS DE CHAPULTEPEC VI SECCION,MIGUEL HIDALGO,19.42019,-99.2177
BARRIO SAN MIGUEL,IZTAPALAPA,19.35109,-99.07487
GUADALUPE TEPEYAC,GUSTAVO A. MADERO,19.47255,-99.12176
PUENTE BLANCO,IZTAPALAPA,19.32949,-99.06551
UN HOGAR PARA NOSOTROS,MIGUEL HIDALGO,19.4508,-99.17099
5TO TRAMO 20 DE NOVIEMBRE,VENUSTIANO CARRANZA,19.4503,-99.11054
CHURUBUSCO COUNTRY CLUB,COYOACAN,19.35315,-99.14279
TORIELLO GUERRA,TLALPAN,19.29266,-99.16801
PORTALES NORTE,BENITO JUAREZ,19.36932,-99.15006
DEL LAGO,BENITO JUAREZ,19.37751,-99.14062
ARVIDE,ALVARO OBREGON,19.38088,-99.20338
20 DE NOVIEMBRE,VENUSTIANO CARRANZA,19.44102,-99.10764
PORTALES SUR,BENITO JUAREZ,19.36186,-99.15217
TABACALERA,CUAUHTEMOC,19.43722,-99.14706
RANCHO TEJOMULCO,XOCHIMILCO,19.245,-99.0863
MINAS CRISTO REY,ALVARO OBREGON,19.38067,-99.20021
TLALPAN CENTRO,TLALPAN,19.28511,-99.166
10 DE MAYO,VENUSTIANO CARRANZA,19.43271,-99.11775
BARRIO LA CONCEPCION,MILPA ALTA,19.19188,-99.02108
PUEBLO NUEVO,ALVARO OBREGON,19.38143,-99.24018
NAN,TLAHUAC,19.28465,-99.04482
LOMAS DE PADIERNA,TLALPAN,19.2913,-99.22747
EL ROSEDAL,COYOACAN,19.3379,-99.14798
2DO REACOMODO TLACUITLAPA,ALVARO OBREGON,19.35604,-99.23736
BARRIO SANTIAGO SUR,TLAHUAC,19.2964,-99.03439
SANTA FE,ALVARO OBREGON,19.37451,-99.25295
ESCANDON II SECCION,MIGUEL HIDALGO,19.40061,-99.17105
JARDINES DEL PEDREGAL DE SAN ANGEL,COYOACAN,19.30795,-99.19683
TENORIOS,TLALPAN,19.29615,-99.11865
BELLAVISTA,ALVARO OBREGON,19.39518,-99.19339
LEYES DE REFORMA 3A SECCION,IZTAPALAPA,19.37489,-99.073
LORENZO BOTURINI,VENUSTIANO CARRANZA,19.4142,-99.12724
HIPODROMO,CUAUHTEMOC,19.4131,-99.17228
VIEJO EJIDO SANTA URSULA COAPA,COYOACAN,19.30501,-99.14023
PERALVILLO,CUAUHTEMOC,19.46227,-99.1379
PUEBLO SAN SEBASTIAN TECOLOXTITLA,IZTAPALAPA,19.36273,-99.01753
PENSADOR MEXICANO,VENUSTIANO CARRANZA,19.44275,-99.07916
PROVIDENCIA,GUSTAVO A. MADERO,19.48364,-99.07068
BARRIO SAN PEDRO,XOCHIMILCO,19.25658,-99.1086
BOSQUE RESIDENCIAL DEL SUR,XOCHIMILCO,19.28029,-99.13162
EL MOLINO TEZONCO,IZTAPALAPA,19.29733,-99.06716
LOMAS DE SAN BERNABE,LA MAGDALENA CONTRERAS,19.31603,-99.26304
GRANJAS COAPA,TLALPAN,19.29559,-99.11015
CLAVERIA,AZCAPOTZALCO,19.46574,-99.17748
LOS ANGELES,IZTAPALAPA,19.34568,-99.07105
CULHUACAN CTM SECCION III,COYOACAN,19.32719,-99.11812
BARRIO SAN PABLO,IZTAPALAPA,19.3586,-99.08561
PUEBLO SANTA LUCIA,ALVARO OBREGON,19.358,-99.25658
BARRIO CALTONGO,XOCHIMILCO,19.2577,-99.07901
JUSTO SIERRA,IZTAPALAPA,19.3645,-99.1342
CHALMA DE GUADALUPE,GUSTAVO A. MADERO,19.55082,-99.15063
FUENTES DEL PEDREGAL,TLALPAN,19.31102,-99.22149
PUEBLO SANTA MARTHA ACATITLA,IZTAPALAPA,19.35604,-99.00643
EL TANQUE,LA MAGDALENA CONTRERAS,19.32666,-99.24979
PEDREGAL DE SN FRANCISCO,COYOACAN,19.33836,-99.16358
VERTIZ NARVARTE,BENITO JUAREZ,19.38359,-99.15587
PUEBLO SAN BERNABE OCOTEPEC,LA MAGDALENA CONTRERAS,19.31334,-99.25896
JARDINES DEL SUR,XOCHIMILCO,19.25544,-99.11862
MIRAVALLE,BENITO JUAREZ,19.36159,-99.14077
PRESIDENTES EJIDALES 2A SECCION,COYOACAN,19.32249,-99.12476
CAMPESTRE CHURUBUSCO,COYOACAN,19.34329,-99.14303
MAGDALENA MIXIUHCA,VENUSTIANO CARRANZA,19.40856,-99.11908
BARRIO XALTOCAN,XOCHIMILCO,19.25581,-99.10085
PARAJE SAN JUAN,IZTAPALAPA,19.34188,-99.07219
BARRIO SAN JOSE,IZTAPALAPA,19.36676,-99.08792
MERCED GOMEZ,ALVARO OBREGON,19.36634,-99.20063
CRISTO REY,ALVARO OBREGON,19.38917,-99.20721
PUEBLO DE SANTIAGO ATZACOALCO,GUSTAVO A. MADERO,19.4953,-99.09822
MIGUEL HIDALGO 2A SECCION,TLALPAN,19.27975,-99.19539
BUENOS AIRES,CUAUHTEMOC,19.40718,-99.14498
COVE,ALVARO OBREGON,19.40144,-99.19752
1RA AMPLIACION PRESIDENTES,ALVARO OBREGON,19.37347,-99.22473
SIMON BOLIVAR,VENUSTIANO CARRANZA,19.44927,-99.09807
BARRIO CALYEQUITA,XOCHIMILCO,19.25261,-99.01165
LAS AGUILAS,ALVARO OBREGON,19.35986,-99.19795
ARENAL,AZCAPOTZALCO,19.46639,-99.15021
LA PRADERA,GUSTAVO A. MADERO,19.47296,-99.0681
PEDREGAL DE SANTA URSULA XITLA,TLALPAN,19.27323,-99.17902
SAN LORENZO LA CEBADA,XOCHIMILCO,19.28055,-99.12383
SANTA CRUZ ATOYAC,BENITO JUAREZ,19.36737,-99.16679
CAFETALES,COYOACAN,19.31096,-99.11077
SAN JUANICO,MIGUEL HIDALGO,19.45082,-99.18748
AMPLIACION NAPOLES,BENITO JUAREZ,19.38767,-99.17968
BUENAVISTA,IZTAPALAPA,19.32466,-99.03312
LA REGADERA,IZTAPALAPA,19.35293,-99.06382
PUEBLO STA CRUZ MEYEHUALCO,IZTAPALAPA,19.33969,-99.04029
LA DRAGA,TLAHUAC,19.28242,-99.04208
SANTA FE CENTRO CIUDAD,ALVARO OBREGON,19.36873,-99.26087
PUEBLO SANTA MARIA TEPEPAN,XOCHIMILCO,19.27232,-99.13592
GUADALUPE DEL MORAL,IZTAPALAPA,19.37009,-99.07485
SANTA ANITA,IZTACALCO,19.40172,-99.12186
SAN FELIPE DE JESUS,GUSTAVO A. MADERO,19.50134,-99.07556
