colonia,alcaldia,latitud,longitud
EL CUERNITO,ALVARO OBREGON,19.38696,-99.2195
COSMOPOLITA,AZCAPOTZALCO,19.47256,-99.1634
PARAJE 38,TLALPAN,19.26762,-99.21124
DEL CARMEN,XOCHIMILCO,19.25188,-99.02382
HEROES DE PADIERNA,TLALPAN,19.28465,-99.22566
2DA SECCION CANADA,ALVARO OBREGON,19.38299,-99.22551
ANGEL ZIMBRON,AZCAPOTZALCO,19.46966,-99.19015
MIGUEL HIDALGO,TLALPAN,19.2846,-99.18676
SAN JOSE TICOMAN,GUSTAVO A. MADERO,19.50348,-99.13294
NEXTITLA,MIGUEL HIDALGO,19.45498,-99.17171
LIBERACION,AZCAPOTZALCO,19.47109,-99.15127
AZTECA,VENUSTIANO CARRANZA,19.43876,-99.10879
PLUTARCO ELIAS CALLES,MIGUEL HIDALGO,19.45312,-99.17276
PUEBLO SAN FRANCISCO XOCOTITLA,AZCAPOTZALCO,19.46774,-99.14686
SEVILLA,VENUSTIANO CARRANZA,19.41185,-99.12199
SAN ALVARO,AZCAPOTZALCO,19.46229,-99.18815
PUEBLO SANTA CRUZ ACALPIXCA,XOCHIMILCO,19.24413,-99.07376
BARRIO LORETO,ALVARO OBREGON,19.34174,-99.19194
REAL DEL MONTE,ALVARO OBREGON,19.39504,-99.19928
GRANJAS ESTRELLA,IZTAPALAPA,19.32081,-99.08734
SAN MIGUEL TEOTONGO SECC MERCEDES,IZTAPALAPA,19.34796,-98.99534
LOS ENCINOS,TLALPAN,19.27766,-99.22799
EMILIANO ZAPATA,COYOACAN,19.32392,-99.13795
EL TRIANGULO DEL PBLO. DE SN. FCO. TLALTENCO,TLAHUAC,19.28233,-99.01137
LA NOPALERA,TLAHUAC,19.29875,-99.05214
LOMAS DE STA CRUZ,IZTAPALAPA,19.33339,-99.03691
ATACAXCO,LA MAGDALENA CONTRERAS,19.31562,-99.24941
OJO DE AGUA,TLAHUAC,19.29056,-99.01069
ESTRELLA DEL SUR,IZTAPALAPA,19.352,-99.10002
QUIRINO MENDOZA,XOCHIMILCO,19.25783,-99.02162
VILLA TLALPAN,TLALPAN,19.27792,-99.16123
BARRIO SAN FRANCISCO,LA MAGDALENA CONTRERAS,19.31519,-99.2315
TORRES LINDAVISTA,GUSTAVO A. MADERO,19.50898,-99.1416
BARRIO SAN LORENZO,IZTAPALAPA,19.30844,-99.06874
GUADALUPE,TLALPAN,19.28681,-99.14592
MEXICO NUEVO,MIGUEL HIDALGO,19.45263,-99.20004
GABRIEL HERNANDEZ,GUSTAVO A. MADERO,19.49902,-99.09943
PUEBLO SANTA MARIA NATIVITAS,XOCHIMILCO,19.24303,-99.09352
BARRIO SAN PEDRO,IZTAPALAPA,19.36032,-99.08465
MAGISTERIAL COAPA,TLALPAN,19.29013,-99.1142
SAN JOAQUIN,MIGUEL HIDALGO,19.45395,-99.20828
EL MOLINO,IZTAPALAPA,19.35646,-99.08986
EL CARACOL,COYOACAN,19.30395,-99.16003
EL RODEO,IZTAPALAPA,19.33397,-99.07163
AMPLIACION LOS REYES,IZTAPALAPA,19.34377,-99.10307
AMPLIACION SELENE,TLAHUAC,19.28655,-98.99801
4 ARBOLES,VENUSTIANO CARRANZA,19.41639,-99.08493
GRANJAS MODERNAS,GUSTAVO A. MADERO,19.4761,-99.09935
REFORMA IZTACCIHUATL NORTE,IZTACALCO,19.38355,-99.1282
SAN ISIDRO,XOCHIMILCO,19.25527,-99.01142
EX ESCUELA DE TIRO,GUSTAVO A. MADERO,19.45481,-99.09862
JARDINES DE SAN LORENZO TEZONCO,IZTAPALAPA,19.29915,-99.07189
HEROES DE CHAPULTEPEC,GUSTAVO A. MADERO,19.47648,-99.09161
LEGARIA,MIGUEL HIDALGO,19.45742,-99.19239
SAN JOSE DEL OLIVAR,ALVARO OBREGON,19.33719,-99.22553
BARRIO SANTIAGO SUR,IZTACALCO,19.38607,-99.12782
EMILIANO ZAPATA FRACCIONAMIENTO POPULAR,COYOACAN,19.31749,-99.11002
LA ESTACION,TLAHUAC,19.30672,-99.04139
PENA POBRE,TLALPAN,19.29562,-99.1839
HERON PROAL,ALVARO OBREGON,19.35918,-99.23172
SAN LORENZO TLATENANGO,MIGUEL HIDALGO,19.46463,-99.19682
PUEBLO TLACOPAC,ALVARO OBREGON,19.35484,-99.19354
EDUCACION,COYOACAN,19.33535,-99.13142
TEPEYAC INSURGENTES,GUSTAVO A. MADERO,19.48218,-99.12623
ZENTLAPATL,CUAJIMALPA DE MORELOS,19.35673,-99.30553
SAN JUAN JOYA,IZTAPALAPA,19.33532,-99.06449
SAN SEBASTIAN DEL PUEBLO SAN PEDRO TLAHUAC,TLAHUAC,19.25881,-99.00852
MIXCOATL,IZTAPALAPA,19.32586,-99.05016
BARRIO LOS REYES,AZCAPOTZALCO,19.48683,-99.18424
EX EJIDO SAN JUAN DE ARAGON SECTOR 32,GUSTAVO A. MADERO,19.46553,-99.08043
LINDAVISTA VALLEJO 3A SECCION,GUSTAVO A. MADERO,19.49241,-99.14633
AMERICA,MIGUEL HIDALGO,19.4043,-99.20541
CREDITO CONSTRUCTOR,BENITO JUAREZ,19.36665,-99.18115
TLALMILLE,TLALPAN,19.25981,-99.18728
BARRIO LA ASUNCION,XOCHIMILCO,19.2704,-99.10291
SAN RAFAEL,AZCAPOTZALCO,19.48588,-99.18765
VALLE DE MADERO,GUSTAVO A. MADERO,19.54735,-99.13766
TABLAS DE SAN AGUSTIN,GUSTAVO A. MADERO,19.46413,-99.11301
LA ESMERALDA,GUSTAVO A. MADERO,19.48884,-99.08494
JARDINES EN LA MONTANA,TLALPAN,19.29937,-99.20317
BARRIO LA CONCEPCION,COYOACAN,19.34617,-99.15885
CULHUACAN CTM SECCION VII,COYOACAN,19.32556,-99.10709
DEFENSORES DE LA REPUBLICA,GUSTAVO A. MADERO,19.47335,-99.14053
PUEBLO SAN FRANCISCO TETECALA,AZCAPOTZALCO,19.47927,-99.18956
TABLAS DE SAN LORENZO,XOCHIMILCO,19.24523,-99.10402
VALLE ESCONDIDO,TLALPAN,19.28145,-99.14234
BARRIO GUADALUPE TICOMAN,GUSTAVO A. MADERO,19.51984,-99.12715
FRANCISCO VILLA,ALVARO OBREGON,19.38244,-99.2
LOS ANGELES APANOAYA,IZTAPALAPA,19.34098,-99.06221
DOLORES TLALI,TLALPAN,19.24208,-99.14802
SAN JOSE DE LA ESCALERA,GUSTAVO A. MADERO,19.52746,-99.16204
HOGAR Y REDENCION,ALVARO OBREGON,19.3705,-99.2159
HACIENDA SAN JUAN,TLALPAN,19.29187,-99.14456
HUICHAPAN,XOCHIMILCO,19.26442,-99.11881
VILLA MILPA ALTA CENTRO,MILPA ALTA,19.19199,-99.02376
ZONA FEDERAL,ALVARO OBREGON,19.36311,-99.23187
BARRIO PANCHIMALCO,MILPA ALTA,19.1967,-99.04874
LA JOYITA,GUSTAVO A. MADERO,19.46418,-99.11787
PUEBLO SAN LORENZO TLACOYUCAN,MILPA ALTA,19.18139,-99.03267
ZONA ESCOLAR ORIENTE,GUSTAVO A. MADERO,19.537,-99.14413
TLAZINTLA,IZTACALCO,19.39811,-99.11331
EL MIRADOR,IZTAPALAPA,19.33422,-99.09721
BARROS SIERRA,LA MAGDALENA CONTRERAS,19.31593,-99.24865
PEDREGAL DE SAN NICOLAS 4A SECCION,TLALPAN,19.2801,-99.2383
CULHUACAN C.T.M. SECCIEN X,COYOACAN,19.31082,-99.11095
LOMA LA PALMA,GUSTAVO A. MADERO,19.5588,-99.13806
CARMEN SERDAN,COYOACAN,19.31818,-99.10633
HEROE DE NACOZARI,GUSTAVO A. MADERO,19.47038,-99.14268
EL RELOJ,COYOACAN,19.31671,-99.14065
JOSE MARIA PINO SUAREZ,ALVARO OBREGON,19.39873,-99.19768
MILITAR MARTE,IZTACALCO,19.3841,-99.13164
LA ANGOSTURA,ALVARO OBREGON,19.33406,-99.23568
LOMAS DE CAPULA,ALVARO OBREGON,19.38015,-99.21416
ESPARTACO,COYOACAN,19.32049,-99.13552
ARENAL 1A. SECCION,VENUSTIANO CARRANZA,19.42381,-99.06546
REFORMA SOCIAL,MIGUEL HIDALGO,19.43126,-99.21778
RINCONADA COAPA 1A SECCION,TLALPAN,19.29373,-99.10755
PUEBLO CHIMALCOYOTL,TLALPAN,19.27444,-99.16332
COCOYOTES,GUSTAVO A. MADERO,19.54833,-99.1315
BARRIO CENTRO,MILPA ALTA,19.1871,-99.0709
FERRERIA,AZCAPOTZALCO,19.50594,-99.17564
EL MIRADOR 1A SECCION,TLALPAN,19.26904,-99.17826
TRIUNFO DE LA REPUBLICA,GUSTAVO A. MADERO,19.49164,-99.10984
BARRIO LA SOLEDAD DEL PUEBLO  SAN JUAN IXTAYOPAN,TLAHUAC,19.23638,-98.99527
CULHUACAN CTM SECCION IX-B,COYOACAN,19.31529,-99.1021
SAN NICOLAS TOLENTINO,IZTAPALAPA,19.32816,-99.0845
LIBERTAD,AZCAPOTZALCO,19.47741,-99.1762
SELENE DEL PUEBLO SAN FRANCISCO TLALTENCO,TLAHUAC,19.28776,-98.99986
CANTIL DEL PEDREGAL,COYOACAN,19.30123,-99.16128
AMPLIACION SANTA MARIA AZTAHUACAN,IZTAPALAPA,19.34791,-99.03105
BARRIO LA LUZ,MILPA ALTA,19.1874,-99.02667
LAS TINAJAS,CUAJIMALPA DE MORELOS,19.35283,-99.28504
ALVARO OBREGON,IZTAPALAPA,19.37197,-99.0363
BARRIO SAN PEDRO,IZTACALCO,19.39127,-99.12844
MIGUEL HIDALGO,TLAHUAC,19.29476,-99.04795
SANTIAGUITO,XOCHIMILCO,19.25542,-99.02286
SAN MIGUEL TEOTONGO SECC PUENTE,IZTAPALAPA,19.35274,-98.9915
BARRIO SAN LUCAS,IZTAPALAPA,19.35701,-99.09621
TLACAMACA,GUSTAVO A. MADERO,19.47362,-99.13793
LA MEXICANA 2DA AMPLIACION,ALVARO OBREGON,19.37944,-99.23299
FLOR DE MARIA,ALVARO OBREGON,19.35336,-99.2159
NUEVA ROSITA,IZTAPALAPA,19.37856,-99.10553
BARRIO SAN CRISTOBAL,XOCHIMILCO,19.25916,-99.09789
FRACCIONAMIENTO COYUYA,IZTACALCO,19.39865,-99.11363
PANAMERICANA,GUSTAVO A. MADERO,19.47901,-99.14305
PUEBLO MAGDALENA ATLAZOLPA,IZTAPALAPA,19.37681,-99.11082
EX EJIDO DE  SANTA URSULA COAPA,COYOACAN,19.30536,-99.12782
EMILIO CARRANZA,VENUSTIANO CARRANZA,19.44954,-99.11936
PUEBLO SANTA ROSA XOCHIAC,ALVARO OBREGON,19.33052,-99.28952
SAN ISIDRO,TLAHUAC,19.25864,-99.01395
PRESIDENTES EJIDALES 1A SECCION,COYOACAN,19.32204,-99.12514
ARBOLEDAS  DEL SUR,TLALPAN,19.29457,-99.14014
BARRIO NEXTENGO,AZCAPOTZALCO,19.47263,-99.18867
CELOALLIOTLI,IZTAPALAPA,19.28936,-99.07433
LOMAS DE LOS ANGELES PUEBLO TETELPAN,ALVARO OBREGON,19.34313,-99.21316
BARRIO SANTA MARTHA,MILPA ALTA,19.19888,-99.02757
PUEBLO CULHUACAN,IZTAPALAPA,19.33794,-99.10467
LA MANZANITA,CUAJIMALPA DE MORELOS,19.36081,-99.29355
FELIPE ANGELES,VENUSTIANO CARRANZA,19.45352,-99.11141
CAMPESTRE,ALVARO OBREGON,19.35832,-99.18978
HUAYAMILPAS,COYOACAN,19.32712,-99.14878
PALMAS,LA MAGDALENA CONTRERAS,19.31139,-99.25376
TIZAMPAMPANO DEL PUEBLO TETELPAN,ALVARO OBREGON,19.34225,-99.21919
AGRICULTURA,MIGUEL HIDALGO,19.44973,-99.16451
LAGO NORTE,MIGUEL HIDALGO,19.44616,-99.1877
BARRIO LA GUADALUPITA,XOCHIMILCO,19.26518,-99.10228
CLUB DE GOLF MEXICO,TLALPAN,19.28601,-99.15652
CUAUHTEMOC PENSIL,MIGUEL HIDALGO,19.4463,-99.19349
POTRERO SAN BERNARDINO,XOCHIMILCO,19.26874,-99.12709
CARLOS ZAPATA VELA,IZTACALCO,19.38558,-99.10033
SANTA CRUZ AVIACION,VENUSTIANO CARRANZA,19.42042,-99.09621
SANTA FE LA LOMA,ALVARO OBREGON,19.36978,-99.25434
LA TURBA,TLAHUAC,19.29634,-99.05739
LAGO SUR,MIGUEL HIDALGO,19.4446,-99.18735
QUIAHUATLA,TLAHUAC,19.2595,-99.00727
BARRIO CALYEQUITA,TLAHUAC,19.25093,-99.00768
CUCHILLA LA JOYA,GUSTAVO A. MADERO,19.45861,-99.11102
MIGUEL HIDALGO 3A SECCION,TLALPAN,19.27629,-99.20843
PEDREGAL DE LAS AGUILAS,TLALPAN,19.27087,-99.17652
AMPLIACION SAN MIGUEL,IZTAPALAPA,19.35252,-99.06636
EL COYOL,GUSTAVO A. MADERO,19.48838,-99.09334
LOMAS DE CHAPULTEPEC VIII SECCION,MIGUEL HIDALGO,19.42604,-99.2243
BARRIO SAN MATEO,MILPA ALTA,19.19153,-99.02795
PETROLERA,AZCAPOTZALCO,19.48298,-99.19961
CENTRO,VENUSTIANO CARRANZA,19.42329,-99.12593
CAMPESTRE POTRERO,IZTAPALAPA,19.32746,-98.97157
GOLONDRINAS,ALVARO OBREGON,19.37817,-99.21253
AMPLIACION SIMON BOLIVAR,VENUSTIANO CARRANZA,19.44851,-99.10049
1RA VICTORIA,ALVARO OBREGON,19.38644,-99.20175
PRESIDENTES DE MEXICO,IZTAPALAPA,19.3328,-99.05835
CRUZ BLANCA,CUAJIMALPA DE MORELOS,19.32162,-99.32535
AMPLIACION PANAMERICANA,GUSTAVO A. MADERO,19.47687,-99.14027
CALZADA JALALPA,ALVARO OBREGON,19.38169,-99.22389
LA PRESA,ALVARO OBREGON,19.38268,-99.21171
AMPLIACION EL TRIUNFO,IZTAPALAPA,19.37721,-99.11554
BARRIO LAS FLORES,XOCHIMILCO,19.24039,-99.07487
LA CONCHITA,MILPA ALTA,19.21009,-98.96892
ALIANZA POPULAR REVOLUCIONARIA,COYOACAN,19.31654,-99.12177
ACTIPAN,BENITO JUAREZ,19.37127,-99.17968
LA CRUZ,LA MAGDALENA CONTRERAS,19.30679,-99.2337
XOTEPINGO,COYOACAN,19.32481,-99.13866
SAN PEDRO ZACATENCO,GUSTAVO A. MADERO,19.50602,-99.12231
AMPLIACION EL CAPULIN,ALVARO OBREGON,19.39726,-99.20877
BARRIO SAN ANDRES,TLAHUAC,19.26224,-99.00063
HEROICO COLEGIO MILITAR,TLALPAN,19.24746,-99.14402
ADOLFO RUIZ CORTINEZ,COYOACAN,19.31935,-99.15079
BARRIO SAN FRANCISCO XICALTONGO,IZTACALCO,19.39493,-99.12326
BOSQUES DE LAS LOMAS,MIGUEL HIDALGO,19.38858,-99.24791
BARRIO SANTA CRUZ,MILPA ALTA,19.19642,-99.01956
RINCON DEL PEDREGAL,TLALPAN,19.31135,-99.2196
SAN DIEGO CHURUBUSCO,COYOACAN,19.35427,-99.14779
NUEVO BARRIO SAN RAFAEL,AZCAPOTZALCO,19.4899,-99.18807
SAN ANTONIO,AZCAPOTZALCO,19.47807,-99.20008
SAN FELIPE,XOCHIMILCO,19.25437,-99.01635
MAXIMINO AVILA CAMACHO,GUSTAVO A. MADERO,19.47917,-99.13643
GENERAL FELIPE BERRIOZABAL,GUSTAVO A. MADERO,19.55464,-99.1287
EX HACIENDA COAPA,COYOACAN,19.31031,-99.14097
INSURGENTES,IZTAPALAPA,19.33108,-99.05441
VALLE DE LUCES,IZTAPALAPA,19.34015,-99.10145
PLANETARIO LINDAVISTA,GUSTAVO A. MADERO,19.49643,-99.14132
PUEBLO SAN BARTOLO CAHUALTONGO,AZCAPOTZALCO,19.48085,-99.19908
ERMITA TIZAPAN,ALVARO OBREGON,19.33763,-99.20458
2 DE OCTUBRE,TLALPAN,19.27175,-99.23021
HUEYTLALE,ALVARO OBREGON,19.36209,-99.22477
ARENAL DE GUADALUPE,TLALPAN,19.28689,-99.14867
PARAJE SAN JUAN CERRO,IZTAPALAPA,19.34733,-99.08435
NUEVA ORIENTAL COAPA,TLALPAN,19.29824,-99.12959
LOMAS DE SAN ANGEL INN,ALVARO OBREGON,19.3416,-99.20588
HIPODROMO CONDESA,CUAUHTEMOC,19.40998,-99.17715
ZAPOTITLA,TLAHUAC,19.30994,-99.03857
PUEBLO SAN PABLO TEPETLAPA,COYOACAN,19.32386,-99.14229
BARRIO SAN ANDRES,AZCAPOTZALCO,19.48954,-99.18131
AMPLIACION PROVIDENCIA,GUSTAVO A. MADERO,19.4781,-99.06932
BARRIO LA OTRA BANDA,ALVARO OBREGON,19.33686,-99.19257
BARRIO SANTA CRUCITA,XOCHIMILCO,19.26196,-99.10114
SAN JUAN DE ARAGON II SECCION,VENUSTIANO CARRANZA,19.44578,-99.08713
PUERTA GRANDE,ALVARO OBREGON,19.35585,-99.23249
IZTACCIHUATL,BENITO JUAREZ,19.38894,-99.13689
SINATEL,IZTAPALAPA,19.36274,-99.1308
RINCONADA LAS CUEVITAS,ALVARO OBREGON,19.35731,-99.23809
JUVENTUD UNIDA,TLALPAN,19.26918,-99.1541
COOP ALLAPETLALLI,IZTAPALAPA,19.28878,-99.06753
PLENITUD,AZCAPOTZALCO,19.473,-99.19916
LOMAS DE SN PEDRO,CUAJIMALPA DE MORELOS,19.3539,-99.28801
CANUTILLO,ALVARO OBREGON,19.36011,-99.23015
LINDAVISTA VALLEJO 1A SECCION,GUSTAVO A. MADERO,19.50158,-99.15636
BARRIO SAN MIGUEL PUEBLO SAN PEDRO TLAHUAC,TLAHUAC,19.26696,-99.00111
FUENTES BROTANTES,TLALPAN,19.28481,-99.18125
TEPETATES,GUSTAVO A. MADERO,19.49348,-99.11334
BARRIO DE CARAMAGUEY,TLALPAN,19.29368,-99.18298
BARRIO SAN ANTONIO,XOCHIMILCO,19.26145,-99.10852
SAN JOSE TLAHUAC DEL PUEBLO SAN PEDRO TLAHUAC,TLAHUAC,19.28072,-99.00112
LOMAS DE LOS CEDROS,ALVARO OBREGON,19.32497,-99.2575
JOYAS DEL PEDREGAL,COYOACAN,19.30603,-99.15954
AMPLIACION POPO,MIGUEL HIDALGO,19.44526,-99.19666
ACUEDUCTO,ALVARO OBREGON,19.39902,-99.20435
SANTA MARIA DEL MONTE,IZTAPALAPA,19.35356,-99.08889
SANTA CRUZ CHAVARRIETA,XOCHIMILCO,19.2292,-99.12021
BARRIO LA LONJA,TLALPAN,19.293,-99.1788
COLINA DEL SUR,ALVARO OBREGON,19.36603,-99.23153
SANTA CRUZ DE LAS SALINAS,AZCAPOTZALCO,19.48738,-99.15257
LA CONCEPCION,LA MAGDALENA CONTRERAS,19.30196,-99.23498
BARRIO LA FAMA,TLALPAN,19.28942,-99.17772
BARRANCA SECA,LA MAGDALENA CONTRERAS,19.30558,-99.23848
LA MALINCHE,GUSTAVO A. MADERO,19.45196,-99.10378
DEL CARMEN,BENITO JUAREZ,19.37608,-99.13937
ERMITA,BENITO JUAREZ,19.35985,-99.14315
BARRIO SAN ESTEBAN,XOCHIMILCO,19.26413,-99.0983
POPO,MIGUEL HIDALGO,19.44484,-99.19763
PUEBLO DE SANTA URSULA COAPA,COYOACAN,19.30791,-99.14446
EL OCOTAL,LA MAGDALENA CONTRERAS,19.29965,-99.26077
PUEBLO SAN NICOLAS TETELCO,TLAHUAC,19.21785,-98.97417
TIERRA NUEVA,XOCHIMILCO,19.26625,-99.11999
PUENTE COLORADO,ALVARO OBREGON,19.34852,-99.22977
EL TORO,LA MAGDALENA CONTRERAS,19.31322,-99.24633
SAN FRANCISCO CULHUACAN BARRIO DE LA MAGDALENA,COYOACAN,19.34461,-99.11878
LA MARTINICA,ALVARO OBREGON,19.35869,-99.22409
AMPLIACION POTRERILLO,LA MAGDALENA CONTRERAS,19.3072,-99.2569
TEMPILULI,TLAHUAC,19.27989,-99.0282
PALMATITLA,GUSTAVO A. MADERO,19.55218,-99.12889
REACOMODO EL CUERNITO,ALVARO OBREGON,19.38183,-99.20758
LOMAS DE CHAPULTEPEC II SECCION,MIGUEL HIDALGO,19.41662,-99.22578
BARRIO SAN MARCOS,MILPA ALTA,19.17331,-98.99829
PRADERA 2A SECCION,GUSTAVO A. MADERO,19.47135,-99.06542
DEL BOSQUE,GUSTAVO A. MADERO,19.5455,-99.14503
BARRIO SAN AGUSTIN PUEBLO SAN JUAN IXTAYOPAN,TLAHUAC,19.2459,-99.00097
MARIA G DE GARCIA RUIZ,ALVARO OBREGON,19.38913,-99.21069
EUZKADI,AZCAPOTZALCO,19.47726,-99.15884
VILLA OLIMPICA,TLALPAN,19.29785,-99.18586
ALVARO OBREGON,VENUSTIANO CARRANZA,19.41194,-99.11858
GRANJAS NAVIDAD,CUAJIMALPA DE MORELOS,19.37141,-99.2854
2DA DEL MORAL DEL PUEBLO TETELPAN,ALVARO OBREGON,19.3426,-99.22469
SANTO TOMAS,MIGUEL HIDALGO,19.45089,-99.1696
BARRIO GUADALUPE STA CATARINA YEC,TLAHUAC,19.30912,-98.9699
GERTRUDIS SANCHEZ 1A SECCION,GUSTAVO A. MADERO,19.47088,-99.1036
CHURUBUSCO TEPEYAC,GUSTAVO A. MADERO,19.48696,-99.13801
MINERVA,IZTAPALAPA,19.35654,-99.11117
BARRIO SANTA ANA NORTE,TLAHUAC,19.30338,-99.04046
SAN MATEO,COYOACAN,19.34913,-99.14557
MALACATES,GUSTAVO A. MADERO,19.57136,-99.13165
8 DE AGOSTO,BENITO JUAREZ,19.39363,-99.18614
AMPLIACION TEPEACA,ALVARO OBREGON,19.35995,-99.23576
BARRIO EL CAPULIN,TLALPAN,19.28184,-99.19055
EL YAQUI,CUAJIMALPA DE MORELOS,19.36294,-99.2741
LAS ANIMAS,XOCHIMILCO,19.26077,-99.01893
SAN PEDRO APOSTOL,TLALPAN,19.2945,-99.17363
PUEBLO SAN FRANCISCO TECOXPA,MILPA ALTA,19.20315,-99.00464
DINAMITA,GUSTAVO A. MADERO,19.49244,-99.10491
LIBERALES DE 1857,ALVARO OBREGON,19.39328,-99.21261
LA HERRADURA DEL PUEBLO TETELPAN,ALVARO OBREGON,19.34603,-99.21085
PRADO COAPA 2A SECCION,TLALPAN,19.30214,-99.13259
FAJA DE ORO,GUSTAVO A. MADERO,19.46638,-99.10436
LOS PADRES,LA MAGDALENA CONTRERAS,19.31772,-99.24842
AGUILERA,AZCAPOTZALCO,19.47296,-99.157
LEYES DE REFORMA 2A SECCION,IZTAPALAPA,19.36447,-99.06772
LA MEXICANA,ALVARO OBREGON,19.38288,-99.23149
DEL OBRERO,GUSTAVO A. MADERO,19.4978,-99.09029
PUEBLO SAN MIGUEL AJUSCO,TLALPAN,19.22697,-99.19918
EX HACIENDA SAN JUAN DE DIOS,TLALPAN,19.29028,-99.13123
GARCIMARRERO,ALVARO OBREGON,19.36588,-99.24226
EL OLIVO,GUSTAVO A. MADERO,19.47363,-99.08714
LA LUPITA,TLAHUAC,19.24959,-98.99606
MAGISTERIAL,TLALPAN,19.29434,-99.11069
TLACUITLAPA,ALVARO OBREGON,19.35502,-99.24114
LA JOYA,GUSTAVO A. MADERO,19.45604,-99.10821
BARRIO SANTA ANA SUR,TLAHUAC,19.2951,-99.03976
JARDINES DE CHURUBUSCO,IZTAPALAPA,19.37464,-99.10777
VERGEL DE COYOACAN,TLALPAN,19.30288,-99.13662
ZENON DELGADO,ALVARO OBREGON,19.38927,-99.21466
LA OTRA BANDA,COYOACAN,19.33499,-99.19842
LOMAS DE PUERTA GRANDE,ALVARO OBREGON,19.35822,-99.2336
CERRILLOS TERCERA SECCION,XOCHIMILCO,19.24829,-99.02506
BARRIO LA GUADALUPE PUEBLO SAN PEDRO TLAHUAC,TLAHUAC,19.2675,-99.00594
REACOMODO VALENTIN GOMEZ FARIAS,ALVARO OBREGON,19.36018,-99.23107
SAN BARTOLO AMEYALCO,LA MAGDALENA CONTRERAS,19.32654,-99.24759
BARRIO SAN JUAN,XOCHIMILCO,19.26497,-99.10737
LOS PICOS DE IZTACALCO SECCION 1 B,IZTACALCO,19.38934,-99.11184
LOS CEDROS,ALVARO OBREGON,19.36435,-99.23884
USCOVI,IZTAPALAPA,19.29316,-99.0692
NARCISO BASSOLS,GUSTAVO A. MADERO,19.45626,-99.05457
BOSQUE DE CHAPULTEPEC III SECCION,MIGUEL HIDALGO,19.39687,-99.22142
ARBOLEDAS,GUSTAVO A. MADERO,19.5607,-99.12331
LA PILA,CUAJIMALPA DE MORELOS,19.30942,-99.33398
TLALPUENTE,TLALPAN,19.24651,-99.18529
LUIS DONALDO COLOSIO,GUSTAVO A. MADERO,19.56007,-99.14593
AMPLIACION JOSE LOPEZ PORTILLO,TLAHUAC,19.30363,-99.02166
BARRIO SAN AGUSTIN,MILPA ALTA,19.18866,-99.0174
PUEBLO SAN PABLO CHIMALPA,CUAJIMALPA DE MORELOS,19.35397,-99.31735
BONANZA,ALVARO OBREGON,19.38689,-99.21385
ATENOR SALAS,BENITO JUAREZ,19.40331,-99.14785
ESPERANZA,VENUSTIANO CARRANZA,19.41902,-99.12734
SAN FRANCISCO CULHUACAN BARRIO DE SAN FRANCISCO,COYOACAN,19.33682,-99.11618
ZACATENCO,TLAHUAC,19.2981,-99.02436
PLAN DE AYALA,TLALPAN,19.23982,-99.14815
AMPLIACION COCOYOTES,GUSTAVO A. MADERO,19.54973,-99.12811
PASEO DE LAS LOMAS,ALVARO OBREGON,19.372,-99.26617
PRADO COAPA 3A SECCION,TLALPAN,19.29283,-99.13204
MONTE ALBAN,IZTAPALAPA,19.3525,-99.01932
7 DE NOVIEMBRE,GUSTAVO A. MADERO,19.45659,-99.1149
BARRIO SANTA ANA CENTRO,TLAHUAC,19.29625,-99.03745
BARRIO TECAXTITLA,MILPA ALTA,19.22176,-98.99378
LOMAS DE SANTA FE,ALVARO OBREGON,19.38735,-99.2402
PARQUE DEL PEDREGAL,TLALPAN,19.29828,-99.19083
AMPLIACION MALACATES,GUSTAVO A. MADERO,19.57493,-99.13013
EL JAGUEY,AZCAPOTZALCO,19.48373,-99.17294
SAN MIGUEL TEOTONGO SECC RANCHITO,IZTAPALAPA,19.34763,-98.98557
TLATILCO,AZCAPOTZALCO,19.46233,-99.16042
LOMAS DE MEMETLA,CUAJIMALPA DE MORELOS,19.35782,-99.28671
LAS ARBOLEDAS,TLAHUAC,19.3096,-99.04622
PUEBLO SANTA CRUZ ACAYUCAN,AZCAPOTZALCO,19.47485,-99.19675
LAS AMERICAS,ALVARO OBREGON,19.4008,-99.20776
LA CARBONERA,LA MAGDALENA CONTRERAS,19.30175,-99.25374
FLORESTA COYOACAN,TLALPAN,19.30411,-99.12834
BARRIO COLTONGO,AZCAPOTZALCO,19.47961,-99.1494
COMPOSITORES MEXICANOS,GUSTAVO A. MADERO,19.56505,-99.13939
SANTIAGO ATEPETLAC,GUSTAVO A. MADERO,19.52504,-99.15813
LOMAS HIDALGO,TLALPAN,19.27421,-99.21537
LA CONCHA,XOCHIMILCO,19.25395,-99.11693
PUEBLO SAN ANDRES DE LAS SALINAS,AZCAPOTZALCO,19.48983,-99.15603
BARRIO SAN FERNANDO,TLALPAN,19.29537,-99.18054
EL CAPULIN,ALVARO OBREGON,19.39716,-99.21071
CERRO DEL GUERRERO,GUSTAVO A. MADERO,19.50327,-99.1151
16 DE SEPTIEMBRE,MIGUEL HIDALGO,19.40205,-99.20507
BARRIO SAN JOSE,MILPA ALTA,19.17765,-99.00076
LOMAS DE LAS AGUILAS,ALVARO OBREGON,19.34499,-99.23377
U.HABIT. CUCHILLA DEL TESORO,GUSTAVO A. MADERO,19.44717,-99.05656
AGRICOLA METROPOLITANA,TLAHUAC,19.28778,-99.05205
